Date,Facebook Ad Campaign,Facebook Ad Views,Facebook Ad Clicks,Facebook Ad Conversions,Facebook Cost Per Ad,Facebook Click-Through Rate (Clicks / View),Facebook Conversion Rate (Conversions / Clicks),Facebook Cost per Click (Ad Cost / Clicks),AdWords Ad Campaign,"AdWords Ad Views
",AdWords Ad Clicks,AdWords Ad Conversions,"Cost per AdWords Ad
",AdWords Click-Through Rate (Clicks / View),"AdWords Conversion Rate (Conversions / Click)
",AdWords Cost per Click (Ad Cost / Clicks)
24/01/2022,FB_Jan2022,3107,17,11,$99,0.55%,64.71%,$5.82,AW_Jan2022,4435,32,13,$150,0.72%,40.63%,$4.69
30/03/2022,FB_Mar2022,1616,53,22,$150,3.28%,41.51%,$2.83,AW_Mar2022,4898,32,4,$81,0.65%,12.50%,$2.53
09/04/2022,FB_Apr2022,2016,38,24,$197,1.88%,63.16%,$5.18,AW_Apr2022,4518,32,4,$186,0.71%,12.50%,$5.81
06/07/2022,FB_Jul2022,2096,15,7,$83,0.72%,46.67%,$5.53,AW_Jul2022,5420,32,15,$62,0.59%,46.88%,$1.94
28/07/2022,FB_Jul2022,1270,59,30,$125,4.65%,50.85%,$2.12,AW_Jul2022,4099,32,14,$89,0.78%,43.75%,$2.78
08/01/2023,FB_Jan2023,2578,58,23,$174,2.25%,39.66%,$3.00,AW_Jan2023,3806,32,14,$198,0.84%,43.75%,$6.19
28/05/2023,FB_May2023,2657,52,28,$181,1.96%,53.85%,$3.48,AW_May2023,5692,32,4,$191,0.56%,12.50%,$5.97
31/05/2023,FB_May2023,1949,42,32,$154,2.15%,76.19%,$3.67,AW_May2023,3814,32,13,$99,0.84%,40.63%,$3.09
05/07/2023,FB_Jul2023,2076,32,10,$193,1.54%,31.25%,$6.03,AW_Jul2023,5376,32,4,$96,0.60%,12.50%,$3.00
06/08/2023,FB_Aug2023,2543,59,31,$240,2.32%,52.54%,$4.07,AW_Aug2023,4006,32,14,$170,0.80%,43.75%,$5.31
09/09/2023,FB_Sep2023,1898,21,10,$145,1.11%,47.62%,$6.90,AW_Sep2023,5610,32,18,$177,0.57%,56.25%,$5.53
14/03/2024,FB_Mar2024,2781,22,19,$188,0.79%,86.36%,$8.55,AW_Mar2024,5195,32,16,$156,0.62%,50.00%,$4.88
09/05/2024,FB_May2024,1128,28,14,$182,2.48%,50.00%,$6.50,AW_May2024,3844,32,18,$92,0.83%,56.25%,$2.88
15/06/2024,FB_Jun2024,1810,63,34,$180,3.48%,53.97%,$2.86,AW_Jun2024,5136,32,15,$55,0.62%,46.88%,$1.72
01/08/2024,FB_Aug2024,3152,22,5,$130,0.70%,22.73%,$5.91,AW_Aug2024,5538,32,13,$53,0.58%,40.63%,$1.66
04/09/2024,FB_Sep2024,2436,65,28,$67,2.67%,43.08%,$1.03,AW_Sep2024,5183,32,13,$187,0.62%,40.63%,$5.84
15/01/2022,FB_Jan2022,3248,28,13,$143,0.86%,46.43%,$5.11,AW_Jan2022,3818,33,16,$152,0.86%,48.48%,$4.61
28/02/2022,FB_Feb2022,2133,24,15,$234,1.13%,62.50%,$9.75,AW_Feb2022,5444,33,18,$167,0.61%,54.55%,$5.06
08/04/2022,FB_Apr2022,1194,54,32,$117,4.52%,59.26%,$2.17,AW_Apr2022,4750,33,13,$62,0.69%,39.39%,$1.88
13/11/2022,FB_Nov2022,3272,42,32,$226,1.28%,76.19%,$5.38,AW_Nov2022,4734,33,14,$123,0.70%,42.42%,$3.73
06/04/2023,FB_Apr2023,2257,20,19,$179,0.89%,95.00%,$8.95,AW_Apr2023,4759,33,14,$70,0.69%,42.42%,$2.12
28/04/2023,FB_Apr2023,2323,53,28,$149,2.28%,52.83%,$2.81,AW_Apr2023,5306,33,18,$108,0.62%,54.55%,$3.27
12/06/2023,FB_Jun2023,1357,50,30,$119,3.68%,60.00%,$2.38,AW_Jun2023,3759,33,17,$185,0.88%,51.52%,$5.61
21/08/2023,FB_Aug2023,2947,45,26,$151,1.53%,57.78%,$3.36,AW_Aug2023,5023,33,16,$99,0.66%,48.48%,$3.00
05/11/2023,FB_Nov2023,1315,47,25,$247,3.57%,53.19%,$5.26,AW_Nov2023,4197,33,15,$193,0.79%,45.45%,$5.85
07/11/2023,FB_Nov2023,2046,20,6,$234,0.98%,30.00%,$11.70,AW_Nov2023,4312,33,17,$128,0.77%,51.52%,$3.88
25/03/2024,FB_Mar2024,3006,37,16,$174,1.23%,43.24%,$4.70,AW_Mar2024,4688,33,4,$127,0.70%,12.12%,$3.85
04/07/2024,FB_Jul2024,1064,31,13,$98,2.91%,41.94%,$3.16,AW_Jul2024,3942,33,18,$113,0.84%,54.55%,$3.42
18/08/2024,FB_Aug2024,3308,53,25,$191,1.60%,47.17%,$3.60,AW_Aug2024,4600,33,18,$73,0.72%,54.55%,$2.21
03/01/2022,FB_Jan2022,2450,33,15,$194,1.35%,45.45%,$5.88,AW_Jan2022,4770,34,15,$193,0.71%,44.12%,$5.68
01/05/2022,FB_May2022,2189,65,30,$104,2.97%,46.15%,$1.60,AW_May2022,3889,34,18,$119,0.87%,52.94%,$3.50
05/07/2022,FB_Jul2022,2592,17,19,$110,0.66%,111.76%,$6.47,AW_Jul2022,4366,34,16,$141,0.78%,47.06%,$4.15
26/08/2022,FB_Aug2022,2630,43,32,$71,1.63%,74.42%,$1.65,AW_Aug2022,5691,34,17,$117,0.60%,50.00%,$3.44
03/09/2022,FB_Sep2022,2388,62,35,$124,2.60%,56.45%,$2.00,AW_Sep2022,4174,34,17,$64,0.81%,50.00%,$1.88
06/11/2022,FB_Nov2022,3310,51,23,$102,1.54%,45.10%,$2.00,AW_Nov2022,5094,34,17,$57,0.67%,50.00%,$1.68
12/12/2022,FB_Dec2022,1401,21,17,$151,1.50%,80.95%,$7.19,AW_Dec2022,5385,34,18,$62,0.63%,52.94%,$1.82
31/01/2023,FB_Jan2023,1997,40,25,$235,2.00%,62.50%,$5.88,AW_Jan2023,4975,34,16,$129,0.68%,47.06%,$3.79
07/03/2023,FB_Mar2023,1752,17,15,$138,0.97%,88.24%,$8.12,AW_Mar2023,5064,34,13,$177,0.67%,38.24%,$5.21
05/04/2023,FB_Apr2023,2184,40,32,$81,1.83%,80.00%,$2.03,AW_Apr2023,4076,34,16,$89,0.83%,47.06%,$2.62
05/06/2023,FB_Jun2023,2758,42,26,$246,1.52%,61.90%,$5.86,AW_Jun2023,3743,34,13,$62,0.91%,38.24%,$1.82
29/06/2023,FB_Jun2023,1061,20,9,$122,1.89%,45.00%,$6.10,AW_Jun2023,3927,34,4,$184,0.87%,11.76%,$5.41
23/12/2023,FB_Dec2023,1644,61,33,$211,3.71%,54.10%,$3.46,AW_Dec2023,4317,34,14,$65,0.79%,41.18%,$1.91
25/12/2023,FB_Dec2023,1121,50,26,$115,4.46%,52.00%,$2.30,AW_Dec2023,4661,34,16,$179,0.73%,47.06%,$5.26
02/02/2024,FB_Feb2024,3022,63,37,$168,2.08%,58.73%,$2.67,AW_Feb2024,4907,34,16,$102,0.69%,47.06%,$3.00
02/07/2024,FB_Jul2024,1649,54,22,$173,3.27%,40.74%,$3.20,AW_Jul2024,4282,34,14,$59,0.79%,41.18%,$1.74
05/07/2024,FB_Jul2024,2916,24,9,$112,0.82%,37.50%,$4.67,AW_Jul2024,4398,34,18,$75,0.77%,52.94%,$2.21
29/07/2024,FB_Jul2024,3149,59,31,$180,1.87%,52.54%,$3.05,AW_Jul2024,4001,34,4,$81,0.85%,11.76%,$2.38
07/04/2022,FB_Apr2022,2766,38,24,$141,1.37%,63.16%,$3.71,AW_Apr2022,5636,35,4,$182,0.62%,11.43%,$5.20
08/08/2022,FB_Aug2022,1666,34,23,$100,2.04%,67.65%,$2.94,AW_Aug2022,4864,35,13,$96,0.72%,37.14%,$2.74
04/11/2022,FB_Nov2022,1187,40,24,$110,3.37%,60.00%,$2.75,AW_Nov2022,5313,35,15,$130,0.66%,42.86%,$3.71
14/01/2023,FB_Jan2023,1432,63,30,$247,4.40%,47.62%,$3.92,AW_Jan2023,5306,35,18,$189,0.66%,51.43%,$5.40
21/01/2023,FB_Jan2023,3207,55,26,$228,1.71%,47.27%,$4.15,AW_Jan2023,3882,35,16,$147,0.90%,45.71%,$4.20
22/01/2023,FB_Jan2023,3039,22,10,$239,0.72%,45.45%,$10.86,AW_Jan2023,4506,35,16,$80,0.78%,45.71%,$2.29
02/03/2023,FB_Mar2023,1141,31,14,$223,2.72%,45.16%,$7.19,AW_Mar2023,5504,35,16,$107,0.64%,45.71%,$3.06
08/04/2023,FB_Apr2023,2504,38,17,$126,1.52%,44.74%,$3.32,AW_Apr2023,4316,35,17,$103,0.81%,48.57%,$2.94
22/08/2023,FB_Aug2023,3222,18,12,$239,0.56%,66.67%,$13.28,AW_Aug2023,4527,35,15,$59,0.77%,42.86%,$1.69
10/09/2023,FB_Sep2023,2792,37,24,$205,1.33%,64.86%,$5.54,AW_Sep2023,5590,35,14,$123,0.63%,40.00%,$3.51
06/10/2023,FB_Oct2023,3147,46,32,$129,1.46%,69.57%,$2.80,AW_Oct2023,4440,35,16,$184,0.79%,45.71%,$5.26
26/10/2023,FB_Oct2023,1969,20,6,$104,1.02%,30.00%,$5.20,AW_Oct2023,5649,35,14,$123,0.62%,40.00%,$3.51
14/11/2023,FB_Nov2023,1503,70,34,$73,4.66%,48.57%,$1.04,AW_Nov2023,3896,35,18,$173,0.90%,51.43%,$4.94
12/12/2023,FB_Dec2023,2121,49,25,$81,2.31%,51.02%,$1.65,AW_Dec2023,4740,35,18,$118,0.74%,51.43%,$3.37
27/12/2023,FB_Dec2023,3083,32,8,$139,1.04%,25.00%,$4.34,AW_Dec2023,3720,35,14,$178,0.94%,40.00%,$5.09
13/07/2024,FB_Jul2024,3103,32,24,$205,1.03%,75.00%,$6.41,AW_Jul2024,4185,35,15,$186,0.84%,42.86%,$5.31
27/12/2021,FB_Dec2021,3269,25,12,$66,0.76%,48.00%,$2.64,AW_Dec2021,5001,36,16,$79,0.72%,44.44%,$2.19
01/07/2022,FB_Jul2022,1625,19,13,$147,1.17%,68.42%,$7.74,AW_Jul2022,4649,36,13,$165,0.77%,36.11%,$4.58
12/08/2022,FB_Aug2022,3020,49,25,$76,1.62%,51.02%,$1.55,AW_Aug2022,5573,36,18,$149,0.65%,50.00%,$4.14
17/12/2022,FB_Dec2022,3180,70,33,$230,2.20%,47.14%,$3.29,AW_Dec2022,5749,36,4,$99,0.63%,11.11%,$2.75
18/01/2023,FB_Jan2023,1252,60,30,$81,4.79%,50.00%,$1.35,AW_Jan2023,4571,36,15,$179,0.79%,41.67%,$4.97
16/04/2023,FB_Apr2023,1250,56,27,$144,4.48%,48.21%,$2.57,AW_Apr2023,5521,36,15,$195,0.65%,41.67%,$5.42
02/07/2023,FB_Jul2023,1264,22,12,$183,1.74%,54.55%,$8.32,AW_Jul2023,5672,36,17,$59,0.63%,47.22%,$1.64
29/07/2023,FB_Jul2023,1708,28,19,$163,1.64%,67.86%,$5.82,AW_Jul2023,5261,36,16,$147,0.68%,44.44%,$4.08
31/07/2023,FB_Jul2023,2191,30,12,$244,1.37%,40.00%,$8.13,AW_Jul2023,5501,36,15,$110,0.65%,41.67%,$3.06
13/08/2023,FB_Aug2023,1485,53,22,$131,3.57%,41.51%,$2.47,AW_Aug2023,4984,36,4,$66,0.72%,11.11%,$1.83
10/11/2023,FB_Nov2023,1544,49,28,$177,3.17%,57.14%,$3.61,AW_Nov2023,3915,36,18,$67,0.92%,50.00%,$1.86
09/12/2023,FB_Dec2023,1884,35,24,$158,1.86%,68.57%,$4.51,AW_Dec2023,4433,36,18,$150,0.81%,50.00%,$4.17
30/04/2024,FB_Apr2024,1189,24,18,$123,2.02%,75.00%,$5.13,AW_Apr2024,5628,36,17,$129,0.64%,47.22%,$3.58
07/05/2024,FB_May2024,2900,52,32,$115,1.79%,61.54%,$2.21,AW_May2024,4702,36,14,$69,0.77%,38.89%,$1.92
12/05/2024,FB_May2024,1393,40,28,$96,2.87%,70.00%,$2.40,AW_May2024,4962,36,18,$87,0.73%,50.00%,$2.42
25/07/2024,FB_Jul2024,1615,29,14,$191,1.80%,48.28%,$6.59,AW_Jul2024,4242,36,13,$108,0.85%,36.11%,$3.00
14/09/2024,FB_Sep2024,1866,70,37,$97,3.75%,52.86%,$1.39,AW_Sep2024,4582,36,14,$149,0.79%,38.89%,$4.14
11/03/2022,FB_Mar2022,1754,54,25,$118,3.08%,46.30%,$2.19,AW_Mar2022,5577,37,14,$190,0.66%,37.84%,$5.14
19/05/2022,FB_May2022,3014,41,23,$163,1.36%,56.10%,$3.98,AW_May2022,5280,37,18,$78,0.70%,48.65%,$2.11
01/08/2022,FB_Aug2022,1066,19,10,$75,1.78%,52.63%,$3.95,AW_Aug2022,4630,37,18,$182,0.80%,48.65%,$4.92
25/09/2022,FB_Sep2022,2856,58,26,$205,2.03%,44.83%,$3.53,AW_Sep2022,5396,37,4,$159,0.69%,10.81%,$4.30
28/10/2022,FB_Oct2022,2076,69,28,$129,3.32%,40.58%,$1.87,AW_Oct2022,4371,37,13,$187,0.85%,35.14%,$5.05
31/12/2022,FB_Dec2022,1593,61,33,$80,3.83%,54.10%,$1.31,AW_Dec2022,3786,37,14,$147,0.98%,37.84%,$3.97
13/03/2023,FB_Mar2023,2056,21,17,$87,1.02%,80.95%,$4.14,AW_Mar2023,4030,37,14,$65,0.92%,37.84%,$1.76
17/06/2023,FB_Jun2023,1460,58,26,$80,3.97%,44.83%,$1.38,AW_Jun2023,4072,37,16,$72,0.91%,43.24%,$1.95
18/07/2023,FB_Jul2023,2978,39,17,$180,1.31%,43.59%,$4.62,AW_Jul2023,3932,37,16,$73,0.94%,43.24%,$1.97
07/09/2023,FB_Sep2023,2815,34,11,$241,1.21%,32.35%,$7.09,AW_Sep2023,3786,37,18,$169,0.98%,48.65%,$4.57
17/10/2023,FB_Oct2023,2177,61,30,$244,2.80%,49.18%,$4.00,AW_Oct2023,4856,37,18,$53,0.76%,48.65%,$1.43
12/02/2024,FB_Feb2024,1267,49,26,$246,3.87%,53.06%,$5.02,AW_Feb2024,5453,37,16,$192,0.68%,43.24%,$5.19
07/03/2024,FB_Mar2024,2258,57,32,$145,2.52%,56.14%,$2.54,AW_Mar2024,5624,37,16,$138,0.66%,43.24%,$3.73
21/03/2024,FB_Mar2024,1648,51,25,$114,3.09%,49.02%,$2.24,AW_Mar2024,5156,37,4,$165,0.72%,10.81%,$4.46
26/07/2024,FB_Jul2024,2700,16,14,$95,0.59%,87.50%,$5.94,AW_Jul2024,5042,37,14,$158,0.73%,37.84%,$4.27
16/08/2024,FB_Aug2024,3231,29,13,$89,0.90%,44.83%,$3.07,AW_Aug2024,4462,37,14,$133,0.83%,37.84%,$3.59
08/09/2024,FB_Sep2024,1749,46,24,$105,2.63%,52.17%,$2.28,AW_Sep2024,4694,37,18,$194,0.79%,48.65%,$5.24
24/12/2021,FB_Dec2021,1936,53,32,$66,2.74%,60.38%,$1.25,AW_Dec2021,4702,38,4,$187,0.81%,10.53%,$4.92
09/03/2022,FB_Mar2022,2427,20,16,$220,0.82%,80.00%,$11.00,AW_Mar2022,4260,38,18,$104,0.89%,47.37%,$2.74
02/05/2022,FB_May2022,2213,72,34,$125,3.25%,47.22%,$1.74,AW_May2022,4494,38,4,$82,0.85%,10.53%,$2.16
23/08/2022,FB_Aug2022,2373,63,30,$70,2.65%,47.62%,$1.11,AW_Aug2022,5050,38,17,$116,0.75%,44.74%,$3.05
25/08/2022,FB_Aug2022,1846,53,32,$106,2.87%,60.38%,$2.00,AW_Aug2022,5148,38,15,$174,0.74%,39.47%,$4.58
06/10/2022,FB_Oct2022,2168,20,8,$90,0.92%,40.00%,$4.50,AW_Oct2022,5470,38,18,$95,0.69%,47.37%,$2.50
15/10/2022,FB_Oct2022,1074,63,28,$83,5.87%,44.44%,$1.32,AW_Oct2022,4118,38,4,$156,0.92%,10.53%,$4.11
03/03/2023,FB_Mar2023,2912,52,28,$198,1.79%,53.85%,$3.81,AW_Mar2023,4359,38,4,$108,0.87%,10.53%,$2.84
04/03/2023,FB_Mar2023,1892,60,30,$197,3.17%,50.00%,$3.28,AW_Mar2023,5692,38,16,$194,0.67%,42.11%,$5.11
02/06/2023,FB_Jun2023,1747,40,28,$153,2.29%,70.00%,$3.83,AW_Jun2023,5220,38,16,$84,0.73%,42.11%,$2.21
17/09/2023,FB_Sep2023,1789,36,19,$113,2.01%,52.78%,$3.14,AW_Sep2023,5716,38,18,$138,0.66%,47.37%,$3.63
12/07/2024,FB_Jul2024,2736,56,26,$94,2.05%,46.43%,$1.68,AW_Jul2024,5073,38,16,$190,0.75%,42.11%,$5.00
17/08/2024,FB_Aug2024,1846,64,30,$185,3.47%,46.88%,$2.89,AW_Aug2024,5699,38,14,$74,0.67%,36.84%,$1.95
28/01/2022,FB_Jan2022,2616,30,13,$187,1.15%,43.33%,$6.23,AW_Jan2022,4944,39,17,$100,0.79%,43.59%,$2.56
12/03/2022,FB_Mar2022,2861,17,14,$97,0.59%,82.35%,$5.71,AW_Mar2022,5234,39,13,$58,0.75%,33.33%,$1.49
13/05/2022,FB_May2022,1330,17,15,$250,1.28%,88.24%,$14.71,AW_May2022,5070,39,4,$182,0.77%,10.26%,$4.67
22/05/2022,FB_May2022,2264,27,18,$178,1.19%,66.67%,$6.59,AW_May2022,3780,39,16,$150,1.03%,41.03%,$3.85
21/06/2022,FB_Jun2022,2661,66,30,$246,2.48%,45.45%,$3.73,AW_Jun2022,4884,39,14,$96,0.80%,35.90%,$2.46
06/09/2022,FB_Sep2022,1148,45,28,$225,3.92%,62.22%,$5.00,AW_Sep2022,4111,39,18,$112,0.95%,46.15%,$2.87
18/11/2022,FB_Nov2022,2621,30,18,$81,1.14%,60.00%,$2.70,AW_Nov2022,4144,39,16,$52,0.94%,41.03%,$1.33
25/11/2022,FB_Nov2022,1415,65,34,$68,4.59%,52.31%,$1.05,AW_Nov2022,4564,39,14,$138,0.85%,35.90%,$3.54
17/01/2023,FB_Jan2023,2529,55,23,$103,2.17%,41.82%,$1.87,AW_Jan2023,3888,39,18,$198,1.00%,46.15%,$5.08
25/02/2023,FB_Feb2023,2489,70,36,$161,2.81%,51.43%,$2.30,AW_Feb2023,4145,39,18,$177,0.94%,46.15%,$4.54
24/03/2023,FB_Mar2023,3315,20,7,$239,0.60%,35.00%,$11.95,AW_Mar2023,5534,39,13,$155,0.70%,33.33%,$3.97
13/06/2023,FB_Jun2023,2495,42,32,$189,1.68%,76.19%,$4.50,AW_Jun2023,5074,39,16,$86,0.77%,41.03%,$2.21
06/11/2023,FB_Nov2023,1888,44,24,$81,2.33%,54.55%,$1.84,AW_Nov2023,5609,39,15,$197,0.70%,38.46%,$5.05
19/12/2023,FB_Dec2023,1399,26,11,$118,1.86%,42.31%,$4.54,AW_Dec2023,5093,39,17,$52,0.77%,43.59%,$1.33
03/01/2024,FB_Jan2024,1715,31,18,$221,1.81%,58.06%,$7.13,AW_Jan2024,5565,39,4,$95,0.70%,10.26%,$2.44
02/05/2024,FB_May2024,2203,57,32,$169,2.59%,56.14%,$2.96,AW_May2024,5114,39,16,$108,0.76%,41.03%,$2.77
20/01/2022,FB_Jan2022,3238,28,18,$99,0.86%,64.29%,$3.54,AW_Jan2022,4214,40,9,$123,0.95%,22.50%,$3.08
13/03/2022,FB_Mar2022,2867,49,26,$119,1.71%,53.06%,$2.43,AW_Mar2022,5449,40,4,$178,0.73%,10.00%,$4.45
26/05/2022,FB_May2022,1967,19,7,$140,0.97%,36.84%,$7.37,AW_May2022,4958,40,9,$99,0.81%,22.50%,$2.48
09/07/2022,FB_Jul2022,2032,38,24,$240,1.87%,63.16%,$6.32,AW_Jul2022,3883,40,24,$198,1.03%,60.00%,$4.95
04/09/2022,FB_Sep2022,3299,53,23,$160,1.61%,43.40%,$3.02,AW_Sep2022,4661,40,16,$87,0.86%,40.00%,$2.17
05/11/2022,FB_Nov2022,2040,16,9,$148,0.78%,56.25%,$9.25,AW_Nov2022,5191,40,24,$106,0.77%,60.00%,$2.65
21/11/2022,FB_Nov2022,3262,72,34,$212,2.21%,47.22%,$2.94,AW_Nov2022,5670,40,24,$184,0.71%,60.00%,$4.60
01/01/2023,FB_Jan2023,2798,28,18,$177,1.00%,64.29%,$6.32,AW_Jan2023,5421,40,4,$58,0.74%,10.00%,$1.45
18/02/2023,FB_Feb2023,2064,18,15,$152,0.87%,83.33%,$8.44,AW_Feb2023,4061,40,9,$189,0.98%,22.50%,$4.72
09/03/2023,FB_Mar2023,3280,33,18,$131,1.01%,54.55%,$3.97,AW_Mar2023,4089,40,4,$168,0.98%,10.00%,$4.20
23/05/2023,FB_May2023,1522,37,14,$240,2.43%,37.84%,$6.49,AW_May2023,4185,40,7,$103,0.96%,17.50%,$2.58
28/08/2023,FB_Aug2023,1485,17,15,$138,1.14%,88.24%,$8.12,AW_Aug2023,4911,40,7,$78,0.81%,17.50%,$1.95
05/09/2023,FB_Sep2023,2057,21,6,$187,1.02%,28.57%,$8.90,AW_Sep2023,4957,40,4,$68,0.81%,10.00%,$1.70
06/12/2023,FB_Dec2023,1446,69,34,$146,4.77%,49.28%,$2.12,AW_Dec2023,3815,40,16,$140,1.05%,40.00%,$3.50
20/02/2024,FB_Feb2024,2863,48,32,$161,1.68%,66.67%,$3.35,AW_Feb2024,5117,40,16,$96,0.78%,40.00%,$2.40
22/05/2024,FB_May2024,1649,17,17,$233,1.03%,100.00%,$13.71,AW_May2024,4474,40,7,$126,0.89%,17.50%,$3.15
29/05/2024,FB_May2024,1189,56,32,$244,4.71%,57.14%,$4.36,AW_May2024,4231,40,7,$138,0.95%,17.50%,$3.45
05/06/2024,FB_Jun2024,1777,43,32,$128,2.42%,74.42%,$2.98,AW_Jun2024,4322,40,7,$58,0.93%,17.50%,$1.45
25/06/2024,FB_Jun2024,1661,51,28,$68,3.07%,54.90%,$1.33,AW_Jun2024,5230,40,21,$118,0.76%,52.50%,$2.95
22/08/2024,FB_Aug2024,2642,54,22,$131,2.04%,40.74%,$2.43,AW_Aug2024,3828,40,7,$189,1.04%,17.50%,$4.72
04/03/2022,FB_Mar2022,1643,34,20,$86,2.07%,58.82%,$2.53,AW_Mar2022,5715,41,21,$132,0.72%,51.22%,$3.22
11/12/2022,FB_Dec2022,2947,72,30,$167,2.44%,41.67%,$2.32,AW_Dec2022,4049,41,24,$60,1.01%,58.54%,$1.46
22/12/2022,FB_Dec2022,1622,66,31,$171,4.07%,46.97%,$2.59,AW_Dec2022,4487,41,21,$192,0.91%,51.22%,$4.68
15/02/2023,FB_Feb2023,3038,44,23,$80,1.45%,52.27%,$1.82,AW_Feb2023,4003,41,7,$118,1.02%,17.07%,$2.88
10/03/2023,FB_Mar2023,3159,73,40,$116,2.31%,54.79%,$1.59,AW_Mar2023,4251,41,7,$153,0.96%,17.07%,$3.73
15/03/2023,FB_Mar2023,1713,21,9,$135,1.23%,42.86%,$6.43,AW_Mar2023,3901,41,24,$179,1.05%,58.54%,$4.37
29/03/2023,FB_Mar2023,1344,64,30,$174,4.76%,46.88%,$2.72,AW_Mar2023,5366,41,9,$74,0.76%,21.95%,$1.80
30/03/2023,FB_Mar2023,2406,66,33,$85,2.74%,50.00%,$1.29,AW_Mar2023,5643,41,9,$121,0.73%,21.95%,$2.95
28/12/2023,FB_Dec2023,2650,18,15,$171,0.68%,83.33%,$9.50,AW_Dec2023,5085,41,9,$84,0.81%,21.95%,$2.05
07/01/2024,FB_Jan2024,2348,54,27,$61,2.30%,50.00%,$1.13,AW_Jan2024,4392,41,21,$113,0.93%,51.22%,$2.76
24/01/2024,FB_Jan2024,1465,63,33,$192,4.30%,52.38%,$3.05,AW_Jan2024,5594,41,9,$76,0.73%,21.95%,$1.85
24/02/2024,FB_Feb2024,3066,38,15,$197,1.24%,39.47%,$5.18,AW_Feb2024,5503,41,7,$91,0.75%,17.07%,$2.22
21/04/2024,FB_Apr2024,1469,57,26,$73,3.88%,45.61%,$1.28,AW_Apr2024,5619,41,16,$168,0.73%,39.02%,$4.10
22/04/2024,FB_Apr2024,2598,68,28,$70,2.62%,41.18%,$1.03,AW_Apr2024,5415,41,21,$130,0.76%,51.22%,$3.17
16/06/2024,FB_Jun2024,1281,42,28,$241,3.28%,66.67%,$5.74,AW_Jun2024,4027,41,24,$132,1.02%,58.54%,$3.22
12/08/2024,FB_Aug2024,2797,22,11,$234,0.79%,50.00%,$10.64,AW_Aug2024,4705,41,21,$107,0.87%,51.22%,$2.61
07/02/2022,FB_Feb2022,2174,65,37,$236,2.99%,56.92%,$3.63,AW_Feb2022,4568,42,21,$198,0.92%,50.00%,$4.71
14/03/2022,FB_Mar2022,1279,34,13,$158,2.66%,38.24%,$4.65,AW_Mar2022,5286,42,21,$196,0.79%,50.00%,$4.67
19/03/2022,FB_Mar2022,2981,69,34,$122,2.31%,49.28%,$1.77,AW_Mar2022,4554,42,24,$72,0.92%,57.14%,$1.71
08/05/2022,FB_May2022,1214,64,30,$118,5.27%,46.88%,$1.84,AW_May2022,5078,42,7,$113,0.83%,16.67%,$2.69
01/06/2022,FB_Jun2022,1963,35,20,$145,1.78%,57.14%,$4.14,AW_Jun2022,5664,42,9,$121,0.74%,21.43%,$2.88
